1135,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,MA,M,45,3,AD,WSC
1136,MM,10,M,PSE,OC,0,0,1,0,0,1,0,0,1,0,0,1,0,0,OF,M,30,2,AD,ENC
1137,SC,20,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,PC,M,30,4,AD,SA
1138,MM,20,W,SB,PSB,0,0,0,0,0,1,0,0,1,0,0,2,3,2,OT,M,30,2,BA,ENC
1139,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,AE,M,45,3,GD,NE
1140,MM,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,ED,M,30,2,BA,WSC
1141,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,LF,M,30,3,GD,PAC
1142,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,MA,M,45,4,GD,PAC
1143,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,LF,O,0,5,OT,P
1144,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,LF,M,45,3,BA,MT
1145,SC,10,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,TR,M,45,2,AD,MA
1146,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,MA,M,18,2,HS,WSC
1147,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,CM,M,45,2,GD,MT
1148,SC,10,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,M,45,1,BA,SA
1149,MM,25,MM,O,PSB,1,0,1,0,0,0,0,0,0,0,0,2,2,2,IS,M,45,3,AD,WNC
1150,SC,15,M,SB,PSB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CC,M,45,3,AD,MA
1151,MM,15,MM,OC,PSB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CO,M,30,2,AD,MT
1152,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,AE,M,45,5,BA,NE
1153,SC,5,D,SB,SF,0,0,0,1,0,0,0,0,0,1,0,1,3,2,OF,M,45,1,BA,MA
1154,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,F,61,4,GD,MA
1155,MM,10,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,BC,M,30,2,AD,ENC
1156,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,MA,M,45,4,BA,MT
1157,SC,1,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,AE,M,18,2,HS,PAC
1158,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,LF,M,30,5,GD,WSC
1159,MM,15,Y,PSE,OC,1,0,1,0,0,1,0,0,0,0,0,1,0,0,CM,M,30,5,AD,ENC
1160,MM,25,Y,O,O,0,0,0,0,0,0,0,0,0,0,1,1,1,2,ED,F,61,2,BA,WNC
1161,MM,25,D,SB,PSB,1,0,0,0,0,0,0,0,0,0,0,2,3,0,MA,M,45,4,BA,ENC
1162,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OF,M,45,2,AD,PAC
1163,SC,25,MM,O,O,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CC,M,30,2,AD,PAC
1164,SC,15,Y,SB,PSB,1,0,1,0,0,1,0,0,0,0,0,2,3,1,ED,M,30,2,GD,MA
1165,MM,25,D,SB,SB,1,1,0,0,1,0,0,0,0,0,0,2,4,2,OT,F,61,3,BA,PAC
1166,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,NO,O,0,5,OT,P
1167,MM,25,D,SB,SB,1,1,0,0,1,0,0,0,0,0,0,2,4,2,OF,F,61,2,AD,WNC
1168,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,IS,M,30,5,AD,ENC
1169,DP,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,HS,F,61,5,AD,SA
1170,MM,15,Y,OC,PSB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,AE,M,45,5,BA,ESC
1171,MM,15,D,OC,PSB,1,0,0,0,1,0,0,0,0,0,0,2,3,2,OT,M,30,3,GD,NE
1172,SC,5,MM,PSE,SB,1,0,0,0,0,0,0,0,0,0,0,2,3,1,CM,M,45,3,BA,NE
1173,SC,5,M,OC,PSB,1,0,1,0,0,1,0,0,1,0,0,3,3,2,LF,M,45,4,GD,MA
1174,DP,10,W,SB,SB,0,1,0,0,0,0,0,1,0,0,1,3,3,1,MA,F,61,3,GD,SA
1175,SC,5,M,OC,PSB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PR,M,18,2,BA,ENC
1176,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,FO,M,30,2,AD,MA
1177,MM,20,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,ED,M,30,1,AD,ENC
1178,MM,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,PS,M,45,0,HS,NE
1179,MM,25,MM,NO,NO,0,0,0,0,0,0,0,0,0,0,0,5,5,5,NO,O,0,5,OT,P
1180,MM,25,M,SB,SB,0,0,0,0,0,0,0,0,0,0,1,3,3,1,MA,M,45,4,BA,WNC
1181,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,ED,F,61,1,GD,WNC
1182,MM,10,Y,OC,PSB,0,0,1,0,0,0,0,0,0,0,0,4,3,4,CC,F,61,3,GD,NE
1183,MM,10,D,SB,PSB,1,0,0,0,0,0,0,0,0,0,0,2,4,2,OT,M,45,2,AD,SA
1184,MM,5,Y,OC,PSB,1,1,0,0,0,1,0,0,0,1,0,1,4,0,OT,M,30,2,BA,WNC
1185,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,AE,M,45,3,BA,NE
1186,DV,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,FO,F,61,5,HS,NE
1187,MM,20,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,CC,M,45,2,BA,ENC
1188,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,ED,F,61,2,BA,MA
1189,SC,10,D,SB,SB,0,0,0,0,0,0,0,0,0,0,1,1,1,0,MA,F,61,5,AD,PAC
1190,MM,25,D,SB,SB,0,0,0,1,0,0,0,0,0,0,0,3,4,2,MA,F,61,2,BA,SA
1191,MM,25,D,SB,SB,1,0,0,1,0,0,0,0,0,0,1,2,4,0,OT,M,45,5,GD,WSC
1192,MM,25,M,SB,OC,1,0,0,0,0,0,0,0,0,0,0,2,2,2,IS,M,45,3,AD,MA
1193,MM,25,D,SB,SB,0,0,0,0,0,0,0,0,0,1,0,2,4,2,OF,M,45,4,GD,SA
1194,MM,10,D,SB,PSB,1,0,0,0,0,0,0,0,1,0,1,2,4,2,LF,M,30,4,GD,MT
1195,MM,15,D,PSE,OC,1,0,0,0,0,0,0,0,0,0,1,3,4,2,OF,M,45,1,BA,MT
1196,DP,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,SA,M,30,4,AD,SA
1197,MM,25,Y,OC,OC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MA,M,45,4,GD,MA
1198,MM,25,W,PSE,OC,1,0,0,0,0,0,0,0,0,0,1,2,3,1,MA,O,0,5,OT,P
1199,MM,25,M,OC,OC,1,0,1,0,0,0,0,0,1,0,0,2,1,2,ED,M,45,2,BA,ENC
1200,MM,20,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,BS,M,45,4,GD,WNC
1201,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,HS,M,61,3,BA,PAC
1202,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,F,61,5,BA,ESC
1203,DP,25,W,OC,PSB,1,0,0,0,0,0,0,0,0,0,0,5,5,5,NO,O,0,5,OT,P
1204,MM,25,D,PSE,OC,1,0,0,0,1,0,0,0,0,0,0,0,2,0,MA,M,30,2,HS,NE
1205,MM,15,D,OC,PSB,1,0,0,1,1,0,0,0,1,0,0,4,4,2,OT,M,30,2,AD,MA
1206,MM,20,Y,OC,O,0,0,1,0,1,0,0,0,0,0,0,2,2,2,HC,M,45,3,GD,ENC
1207,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,M,45,2,BA,PAC
1208,MM,20,Y,SB,PSB,0,0,0,0,0,0,0,0,0,0,1,2,3,0,OT,F,61,5,BA,MA
1209,MM,25,Y,SB,PSB,0,0,0,0,0,1,0,0,0,0,0,2,3,2,LF,F,61,3,GD,NE
1210,MM,25,D,SB,SB,1,1,0,0,0,0,0,0,0,1,0,2,4,1,OT,M,61,5,AD,ENC
1211,MM,25,MM,SB,SB,1,0,0,0,0,0,1,0,0,0,0,3,3,2,OT,M,61,5,BA,SA
1212,WD,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,M,61,2,BA,SA
1213,MM,25,D,SB,SB,1,0,0,0,0,0,0,0,0,0,0,2,3,2,OT,M,61,3,AD,NE
1214,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,F,61,3,BA,NE
1215,MM,25,D,SB,SB,1,1,0,0,0,0,0,0,0,0,0,2,4,2,OT,F,61,2,HS,SA
1216,SC,25,MM,OC,PSB,0,0,0,0,0,0,0,0,0,0,1,2,3,1,HC,F,61,2,AD,SA
1217,MM,20,W,PSE,OC,1,1,0,1,0,0,1,1,0,0,0,4,4,0,HS,M,45,2,BA,WNC
